HEADING, SERVO_PW
0, 2765
1800, 1659
1790, 1659
1739, 1659
1688, 1659
1585, 1659
1501, 1659
1371, 1659
1285, 3871
1240, 3871
1261, 3871
1316, 3871
1338, 3871
1346, 3871
1333, 3871
1288, 3871
1240, 3871
1142, 3871
1060, 3871
930, 3871
843, 3871
713, 3834
627, 3705
497, 3510
411, 3381
301, 3216
241, 3126
167, 3015
127, 2955
76, 2878
49, 2838
14, 2785
3595, 2757
3572, 2723
3559, 2703
3542, 2678
3533, 2664
3522, 2648
3516, 2639
3508, 2627
3504, 2621
3498, 2612
3496, 2609
3492, 2603
3490, 2600
3487, 2595
3486, 2594
3484, 2591
3483, 2589
3482, 2588
3481, 2586
3480, 2585
3480, 2585
3479, 2583
3479, 2583
3479, 2583
3478, 2582
3478, 2582
3478, 2582
3478, 2582
3478, 2582
3478, 2582
3477, 2580
3478, 2582
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3478, 2582
3477, 2580
3477, 2580
3478, 2582
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3478, 2582
3477, 2580
3477, 2580
3478, 2582
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3478, 2582
2578, 1659
2615, 1659
2741, 1659
2828, 1659
2956, 1799
3031, 1911
3122, 2048
3172, 2123
3233, 2214
3267, 2265
3310, 2330
3333, 2364
3362, 2408
3378, 2432
3398, 2462
3409, 2478
3422, 2498
3430, 2510
3439, 2523
3445, 2532
3451, 2541
3455, 2547
3459, 2553
3462, 2558
3465, 2562
3467, 2565
3469, 2568
3470, 2570
3471, 2571
3472, 2573
3473, 2574
3474, 2576
3474, 2576
3475, 2577
3475, 2577
3476, 2579
3476, 2579
3476, 2579
3476, 2579
3476, 2579
3476, 2579
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3477, 2580
3478, 2582
3477, 2580
3477, 2580
3478, 2582
3477, 2580
3477, 2580
3478, 2582
3477, 2580
3477, 2580
3477, 2580
3478, 2582
3477, 2580
3477, 2580
3478, 2582
3477, 2580
3477, 2580
3478, 2582
3477, 2580
3477, 2580
3477, 2580
3478, 2582
3477, 2580
3477, 2580
3478, 2582
3477, 2580
3477, 2580
3478, 2582
3477, 2580
3477, 2580
3477, 2580
3478, 2582
3477, 2580
3477, 2580
3478, 2582
3477, 2580
3477, 2580
3478, 2582
3477, 2580
3477, 2580
3477, 2580
3478, 2582
3477, 2580
1690, 1659
1747, 1659
1836, 3871
1860, 3871
1854, 3871
1847, 3871
1859, 3871
1886, 3871
1952, 3871
2014, 3871
2132, 3871
2219, 3871
2333, 1659
2350, 1659
2309, 1659
2273, 1659
2246, 3871
2240, 3871
2240, 3871
2268, 1659
2285, 1659
2279, 1659
2281, 1659
2301, 1659
2358, 1659
2412, 1659
2520, 1659
2606, 1659
2736, 1659
2823, 1659
2953, 1794
3040, 1925
3170, 2120
3249, 2238
3346, 2384
3399, 2463
3465, 2562
3501, 2616
3545, 2682
3570, 2720
1, 2766
18, 2791
39, 2823
50, 2839
65, 2862
73, 2874
83, 2889
89, 2898
96, 2908
99, 2913
104, 2920
107, 2925
110, 2929
112, 2932
114, 2935
115, 2937
117, 2940
118, 2941
119, 2943
120, 2944
120, 2944
121, 2946
121, 2946
121, 2946
122, 2947
122, 2947
122, 2947
122, 2947
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
123, 2949
1915, 3871
1870, 3871
1772, 1659
1730, 1659
1724, 1659
